Time,outcome,Group
1.1225505853950384,-1,1
1.2370439728040954,1,1
1.3146467446906258,-1,1
1.3487453214651863,9,1
1.4606473656892307,1,1
1.4742526135721468,3,1
1.4837604434145761,-1,1
1.500490340302713,3,1
1.6276566363659373,5,1
1.6641416418913098,8,1
1.6674741734627045,-1,1
1.7173714676449925,8,1
1.760726466511932,3,1
1.7800425437442928,-1,1
1.7945584020265686,-1,1
1.8055774518333663,-1,1
1.8170940267224707,1,1
1.8873102104057682,-1,1
1.909073689102976,-1,1
2.018115545024718,1,1
2.0721352567572158,1,1
2.19223541140177,1,1
2.21362049957519,2,1
2.2432440160092617,1,1
2.2437357113445398,-1,1
2.2834918345905013,1,1
2.314547110492511,1,1
2.3169167792988232,-1,1
2.3391953646430377,2,1
2.341887562685416,1,1
2.3801843866457415,2,1
2.419961727858267,4,1
2.4481207793816218,-1,1
2.456394845345977,1,1
2.4586683571813612,-1,1
2.4665964839838828,2,1
2.494115817368764,-1,1
2.5309932109655344,1,1
2.533326297309355,3,1
2.611582620108314,1,1
2.6214829050393775,3,1
2.705596322915129,1,1
2.7835588573255565,2,1
2.8009897235049594,1,1
2.8845595274934355,-1,1
2.964251895672333,-1,1
2.9748334936218015,-1,1
3.0030524074349287,-1,1
3.0262402596175457,-1,1
3.085517793911063,1,1
3.21032244076852,-1,1
3.226777049922961,1,1
3.2450478017987536,-1,1
3.2765462704084416,-1,1
3.33520843366156,-1,1
3.362324306986592,1,1
3.3671686898476265,2,1
3.386993086634693,1,1
3.4292310751757413,2,1
3.4936616500884434,1,1
3.5055975293656423,-1,1
3.6181783664993192,-1,1
3.655258167758416,6,1
3.681097383430648,1,1
3.6823304893698374,1,1
3.6913909708410655,4,1
3.781273287956618,5,1
3.789836594291151,1,1
3.7948421015504197,-1,1
3.8579263104725117,1,1
3.8771490243911155,2,1
3.9297884992661785,-1,1
3.9649049117793003,-1,1
3.97496297951831,8,1
3.9859679736451326,-1,1
4.095542012087099,1,1
4.107980657617027,1,1
4.144375241798628,1,1
4.154935555969645,8,1
4.175365060318101,-1,1
4.303270464327872,-1,1
4.393351385707897,2,1
4.417092912987829,-1,1
4.43192816801223,-1,1
4.468737607093239,1,1
4.481481026104589,-1,1
4.505322405816424,-1,1
4.505753714853998,1,1
4.527462480582177,5,1
4.534852750915202,1,1
4.548777770120594,5,1
4.576577246482292,6,1
4.687243195392567,-1,1
4.701499411268624,9,1
4.71470127522512,2,1
4.728172484169071,3,1
4.747079367690318,-1,1
4.931501601910686,-1,1
4.932176680743564,2,1
4.999031421090314,-1,1
5.023376433377002,1,1
5.058772866375303,1,1
5.064420467916239,9,1
5.065806167172271,1,1
5.09242845941665,1,1
5.123643802852071,4,1
5.126205792882381,3,1
5.214811586837355,3,1
5.218458945082132,2,1
5.219392511381622,3,1
5.227284755566633,8,1
5.264689669645334,1,1
5.265004757353175,2,1
5.303475427285408,8,1
5.388404103743223,-1,1
5.513089971446064,1,1
5.605364756734142,-1,1
5.643176825194279,2,1
5.698069331163758,2,1
5.765072551874064,-1,1
5.7700712685720434,4,1
5.870202913167311,-1,1
5.881524410524097,1,1
5.894390651145713,3,1
5.910426509806185,1,1
5.9389877779603255,1,1
5.954805409272539,1,1
5.9640450608038496,7,1
6.017555274661022,2,1
6.097278975334358,-1,1
6.125662349379738,1,1
6.157076069225375,2,1
6.181425202287709,2,1
6.191852263714282,2,1
6.192642364034215,1,1
6.194972975494126,4,1
6.213310868543807,4,1
6.279248025046251,3,1
6.283088405041432,6,1
6.296448823326665,4,1
6.430414259550092,-1,1
6.430970110783867,-1,1
6.457279002569853,1,1
6.503709475282708,-1,1
6.589749748411822,2,1
6.729712726437704,-1,1
6.745440225042821,3,1
6.842806498756429,2,1
6.916973203305267,1,1
7.012042378209327,-1,1
7.05201184823283,8,1
7.206023503366048,3,1
7.249036292172978,-1,1
7.317609229648065,6,1
7.436433655088799,9,1
7.469953062157844,1,1
7.6091475475400205,6,1
7.691819087547794,1,1
7.692587300774471,1,1
7.753046788196868,4,1
7.832267682846771,-1,1
7.835934911098409,5,1
7.908658579110613,-1,1
7.929943316555364,6,1
7.932897204899528,4,1
7.934090832323534,2,1
7.978474093439594,-1,1
7.9849504367224196,-1,1
8.066029155356524,-1,1
8.107994495777902,-1,1
8.168967144152395,2,1
8.192541189849917,-1,1
8.39620555120521,-1,1
8.417032496068382,8,1
8.470707289382748,1,1
8.495553694406457,8,1
8.499659365049682,1,1
8.546789737737726,-1,1
8.675934262445704,1,1
8.702315770994996,1,1
8.738289928161398,8,1
8.752194354899112,1,1
8.81500015315968,5,1
8.884252960258275,7,1
8.899528543269247,-1,1
8.989029517566669,1,1
9.073882121555185,-1,1
9.076511849508195,-1,1
9.357234189995662,1,1
9.443399299162055,9,1
9.467784521002612,-1,1
9.521684050184495,2,1
9.600915121636707,2,1
9.637274103814438,5,1
9.655267124300863,3,1
9.693395645353503,-1,1
9.696297004313822,6,1
9.719931219571883,8,1
9.740193536007846,1,1
9.752976670036299,5,1
9.756240637350507,2,1
9.80200434228778,4,1
9.838218863381272,1,1
9.86445347236843,3,1
10.00,11,0
